stock name,stock code,svg
Helium,HNT,https://s3-symbol-logo.barterview.com/crypto/XTVCMINA.svg
Tezos,XTZ,https://s3-symbol-logo.barterview.com/crypto/XTVCXEC.svg
Mina,MINA,https://s3-symbol-logo.barterview.com/crypto/XTVCMANA.svg
1000SATS,1000SATS,https://s3-symbol-logo.barterview.com/crypto/XTVCCHZ.svg
eCash,XEC,https://s3-symbol-logo.barterview.com/crypto/XTVCAPE.svg
Worldcoin,WLD,https://s3-symbol-logo.barterview.com/crypto/XTVCEOS.svg
Decentraland,MANA,https://s3-symbol-logo.barterview.com/crypto/XTVCAKT.svg
Chiliz,CHZ,https://s3-symbol-logo.barterview.com/crypto/XTVCSNX.svg
ApeCoin,APE,https://s3-symbol-logo.barterview.com/crypto/XTVCGALA.svg
EOS,EOS,https://s3-symbol-logo.barterview.com/crypto/XTVCAXL.svg
Akash Network,AKT,https://s3-symbol-logo.barterview.com/crypto/XTVCTUSD.svg
Synthetix,SNX,https://s3-symbol-logo.barterview.com/crypto/XTVCCFX.svg
Gala,GALA,https://s3-symbol-logo.barterview.com/crypto/XTVCDYDX.svg
Axelar,AXL,https://s3-symbol-logo.barterview.com/crypto/XTVCNEO.svg
TrueUSD,TUSD,https://s3-symbol-logo.barterview.com/crypto/XTVCBGB.svg
Conflux,CFX,https://s3-symbol-logo.barterview.com/crypto/XTVCROSE.svg
dYdX (ethDYDX),DYDX,https://s3-symbol-logo.barterview.com/crypto/XTVCLUNC.svg
Neo,NEO,https://s3-symbol-logo.barterview.com/crypto/XTVCKAVA.svg
Bitget Token,BGB,https://s3-symbol-logo.barterview.com/crypto/XTVCGNO.svg
Oasis Network,ROSE,https://s3-symbol-logo.barterview.com/crypto/XTVCWOO.svg
Terra Classic,LUNC,https://s3-symbol-logo.barterview.com/crypto/XTVCJASMY.svg
Kava,KAVA,https://s3-symbol-logo.barterview.com/crypto/XTVCWEMIX.svg
Gnosis,GNO,https://s3-symbol-logo.barterview.com/crypto/XTVCMIOTA.svg
